,Days Since 100 Cases,Doubles in N Days,Reference Cases
0,0,Doubles in 2 Days,100.0
1,1,Doubles in 2 Days,141.4213562373095
2,2,Doubles in 2 Days,200.00000000000003
3,3,Doubles in 2 Days,282.8427124746191
4,4,Doubles in 2 Days,400.0000000000001
5,5,Doubles in 2 Days,565.6854249492383
6,6,Doubles in 2 Days,800.0000000000005
7,7,Doubles in 2 Days,1131.3708498984768
8,8,Doubles in 2 Days,1600.0000000000011
9,9,Doubles in 2 Days,2262.741699796954
10,10,Doubles in 2 Days,3200.0000000000027
11,11,Doubles in 2 Days,4525.483399593908
12,12,Doubles in 2 Days,6400.0000000000055
13,13,Doubles in 2 Days,9050.966799187816
14,14,Doubles in 2 Days,12800.000000000011
15,15,Doubles in 2 Days,18101.933598375632
16,16,Doubles in 2 Days,25600.000000000022
17,17,Doubles in 2 Days,36203.867196751264
18,18,Doubles in 2 Days,51200.000000000044
19,19,Doubles in 2 Days,72407.73439350253
20,20,Doubles in 2 Days,102400.00000000009
21,21,Doubles in 2 Days,144815.46878700505
22,22,Doubles in 2 Days,204800.00000000017
23,23,Doubles in 2 Days,289630.9375740101
24,24,Doubles in 2 Days,409600.00000000035
25,25,Doubles in 2 Days,579261.8751480202
26,26,Doubles in 2 Days,819200.0000000007
27,27,Doubles in 2 Days,1158523.7502960404
28,28,Doubles in 2 Days,1638400.0000000014
29,29,Doubles in 2 Days,2317047.500592081
30,30,Doubles in 2 Days,3276800.000000003
31,31,Doubles in 2 Days,4634095.001184162
32,32,Doubles in 2 Days,6553600.000000006
33,33,Doubles in 2 Days,9268190.002368324
34,34,Doubles in 2 Days,13107200.000000011
35,35,Doubles in 2 Days,18536380.004736647
36,36,Doubles in 2 Days,26214400.000000022
37,37,Doubles in 2 Days,37072760.009473294
38,38,Doubles in 2 Days,52428800.000000045
39,39,Doubles in 2 Days,74145520.01894659
40,40,Doubles in 2 Days,104857600.00000009
41,41,Doubles in 2 Days,148291040.03789318
42,42,Doubles in 2 Days,209715200.00000018
43,43,Doubles in 2 Days,296582080.07578635
44,44,Doubles in 2 Days,419430400.00000036
45,45,Doubles in 2 Days,593164160.1515727
46,46,Doubles in 2 Days,838860800.0000007
47,47,Doubles in 2 Days,1186328320.3031454
48,48,Doubles in 2 Days,1677721600.0000014
49,49,Doubles in 2 Days,2372656640.606291
50,50,Doubles in 2 Days,3355443200.000003
51,51,Doubles in 2 Days,4745313281.212582
52,52,Doubles in 2 Days,6710886400.000006
53,53,Doubles in 2 Days,9490626562.425163
54,54,Doubles in 2 Days,13421772800.000011
55,55,Doubles in 2 Days,18981253124.850327
56,56,Doubles in 2 Days,26843545600.000023
57,57,Doubles in 2 Days,37962506249.70065
58,58,Doubles in 2 Days,53687091200.000046
59,59,Doubles in 2 Days,75925012499.4013
60,60,Doubles in 2 Days,107374182400.00009
61,61,Doubles in 2 Days,151850024998.8026
62,62,Doubles in 2 Days,214748364800.00018
63,63,Doubles in 2 Days,303700049997.6052
64,64,Doubles in 2 Days,429496729600.00037
65,65,Doubles in 2 Days,607400099995.2104
66,66,Doubles in 2 Days,858993459200.0007
67,67,Doubles in 2 Days,1214800199990.421
68,68,Doubles in 2 Days,1717986918400.0015
69,69,Doubles in 2 Days,2429600399980.842
70,70,Doubles in 2 Days,3435973836800.003
71,71,Doubles in 2 Days,4859200799961.684
72,72,Doubles in 2 Days,6871947673600.006
73,73,Doubles in 2 Days,9718401599923.367
74,74,Doubles in 2 Days,13743895347200.012
75,75,Doubles in 2 Days,19436803199846.734
76,76,Doubles in 2 Days,27487790694400.023
77,77,Doubles in 2 Days,38873606399693.47
78,78,Doubles in 2 Days,54975581388800.05
79,79,Doubles in 2 Days,77747212799386.94
80,80,Doubles in 2 Days,109951162777600.1
81,81,Doubles in 2 Days,155494425598773.88
82,82,Doubles in 2 Days,219902325555200.2
83,83,Doubles in 2 Days,310988851197547.75
84,84,Doubles in 2 Days,439804651110400.4
85,85,Doubles in 2 Days,621977702395095.5
86,86,Doubles in 2 Days,879609302220800.8
87,87,Doubles in 2 Days,1243955404790191.0
88,88,Doubles in 2 Days,1759218604441601.5
89,89,Doubles in 2 Days,2487910809580382.0
90,90,Doubles in 2 Days,3518437208883203.0
91,91,Doubles in 2 Days,4975821619160764.0
92,92,Doubles in 2 Days,7036874417766406.0
93,93,Doubles in 2 Days,9951643238321528.0
94,94,Doubles in 2 Days,1.4073748835532812e+16
95,95,Doubles in 2 Days,1.9903286476643056e+16
96,96,Doubles in 2 Days,2.8147497671065624e+16
97,97,Doubles in 2 Days,3.980657295328611e+16
98,98,Doubles in 2 Days,5.629499534213125e+16
99,99,Doubles in 2 Days,7.961314590657222e+16
100,100,Doubles in 2 Days,1.125899906842625e+17
101,101,Doubles in 2 Days,1.5922629181314445e+17
102,102,Doubles in 2 Days,2.25179981368525e+17
103,103,Doubles in 2 Days,3.184525836262889e+17
104,104,Doubles in 2 Days,4.5035996273705e+17
105,105,Doubles in 2 Days,6.369051672525778e+17
106,106,Doubles in 2 Days,9.007199254741e+17
107,107,Doubles in 2 Days,1.2738103345051556e+18
108,108,Doubles in 2 Days,1.8014398509482e+18
109,109,Doubles in 2 Days,2.547620669010311e+18
110,110,Doubles in 2 Days,3.6028797018964e+18
111,111,Doubles in 2 Days,5.095241338020622e+18
112,112,Doubles in 2 Days,7.2057594037928e+18
113,113,Doubles in 2 Days,1.0190482676041245e+19
114,114,Doubles in 2 Days,1.44115188075856e+19
115,115,Doubles in 2 Days,2.038096535208249e+19
116,116,Doubles in 2 Days,2.88230376151712e+19
117,117,Doubles in 2 Days,4.076193070416498e+19
118,118,Doubles in 2 Days,5.76460752303424e+19
119,119,Doubles in 2 Days,8.152386140832996e+19
120,120,Doubles in 2 Days,1.152921504606848e+20
121,121,Doubles in 2 Days,1.630477228166599e+20
122,122,Doubles in 2 Days,2.305843009213696e+20
123,123,Doubles in 2 Days,3.260954456333198e+20
124,124,Doubles in 2 Days,4.611686018427392e+20
125,125,Doubles in 2 Days,6.521908912666397e+20
126,126,Doubles in 2 Days,9.223372036854784e+20
127,127,Doubles in 2 Days,1.3043817825332793e+21
128,128,Doubles in 2 Days,1.8446744073709567e+21
129,129,Doubles in 2 Days,2.6087635650665586e+21
130,0,Doubles in 3 Days,100.0
131,1,Doubles in 3 Days,125.99210498948732
132,2,Doubles in 3 Days,158.74010519681994
133,3,Doubles in 3 Days,200.0
134,4,Doubles in 3 Days,251.98420997897463
135,5,Doubles in 3 Days,317.4802103936399
136,6,Doubles in 3 Days,400.0
137,7,Doubles in 3 Days,503.96841995794927
138,8,Doubles in 3 Days,634.9604207872798
139,9,Doubles in 3 Days,800.0
140,10,Doubles in 3 Days,1007.9368399158985
141,11,Doubles in 3 Days,1269.9208415745595
142,12,Doubles in 3 Days,1600.0
143,13,Doubles in 3 Days,2015.873679831797
144,14,Doubles in 3 Days,2539.841683149119
145,15,Doubles in 3 Days,3200.0
146,16,Doubles in 3 Days,4031.747359663594
147,17,Doubles in 3 Days,5079.683366298238
148,18,Doubles in 3 Days,6400.0
149,19,Doubles in 3 Days,8063.494719327188
150,20,Doubles in 3 Days,10159.366732596476
151,21,Doubles in 3 Days,12800.0
152,22,Doubles in 3 Days,16126.989438654376
153,23,Doubles in 3 Days,20318.733465192952
154,24,Doubles in 3 Days,25600.0
155,25,Doubles in 3 Days,32253.978877308753
156,26,Doubles in 3 Days,40637.466930385905
157,27,Doubles in 3 Days,51200.0
158,28,Doubles in 3 Days,64507.957754617506
159,29,Doubles in 3 Days,81274.93386077181
160,30,Doubles in 3 Days,102400.0
161,31,Doubles in 3 Days,129015.91550923501
162,32,Doubles in 3 Days,162549.86772154362
163,33,Doubles in 3 Days,204800.0
164,34,Doubles in 3 Days,258031.83101847002
165,35,Doubles in 3 Days,325099.73544308724
166,36,Doubles in 3 Days,409600.0
167,37,Doubles in 3 Days,516063.66203694005
168,38,Doubles in 3 Days,650199.4708861745
169,39,Doubles in 3 Days,819200.0
170,40,Doubles in 3 Days,1032127.3240738801
171,41,Doubles in 3 Days,1300398.941772349
172,42,Doubles in 3 Days,1638400.0
173,43,Doubles in 3 Days,2064254.6481477602
174,44,Doubles in 3 Days,2600797.883544698
175,45,Doubles in 3 Days,3276800.0
176,46,Doubles in 3 Days,4128509.2962955204
177,47,Doubles in 3 Days,5201595.767089396
178,48,Doubles in 3 Days,6553600.0
179,49,Doubles in 3 Days,8257018.592591041
180,50,Doubles in 3 Days,10403191.534178792
181,51,Doubles in 3 Days,13107200.0
182,52,Doubles in 3 Days,16514037.185182082
183,53,Doubles in 3 Days,20806383.068357583
184,54,Doubles in 3 Days,26214400.0
185,55,Doubles in 3 Days,33028074.370364163
186,56,Doubles in 3 Days,41612766.136715166
187,57,Doubles in 3 Days,52428800.0
188,58,Doubles in 3 Days,66056148.740728326
189,59,Doubles in 3 Days,83225532.27343033
190,60,Doubles in 3 Days,104857600.0
191,61,Doubles in 3 Days,132112297.48145665
192,62,Doubles in 3 Days,166451064.54686067
193,63,Doubles in 3 Days,209715200.0
194,64,Doubles in 3 Days,264224594.9629133
195,65,Doubles in 3 Days,332902129.09372133
196,66,Doubles in 3 Days,419430400.0
197,67,Doubles in 3 Days,528449189.9258266
198,68,Doubles in 3 Days,665804258.1874427
199,69,Doubles in 3 Days,838860800.0
200,70,Doubles in 3 Days,1056898379.8516532
201,71,Doubles in 3 Days,1331608516.3748853
202,72,Doubles in 3 Days,1677721600.0
203,73,Doubles in 3 Days,2113796759.7033064
204,74,Doubles in 3 Days,2663217032.7497706
205,75,Doubles in 3 Days,3355443200.0
206,76,Doubles in 3 Days,4227593519.406613
207,77,Doubles in 3 Days,5326434065.499541
208,78,Doubles in 3 Days,6710886400.0
209,79,Doubles in 3 Days,8455187038.813226
210,80,Doubles in 3 Days,10652868130.999083
211,81,Doubles in 3 Days,13421772800.0
212,82,Doubles in 3 Days,16910374077.626451
213,83,Doubles in 3 Days,21305736261.998165
214,84,Doubles in 3 Days,26843545600.0
215,85,Doubles in 3 Days,33820748155.252903
216,86,Doubles in 3 Days,42611472523.99633
217,87,Doubles in 3 Days,53687091200.0
218,88,Doubles in 3 Days,67641496310.505806
219,89,Doubles in 3 Days,85222945047.99266
220,90,Doubles in 3 Days,107374182400.0
221,91,Doubles in 3 Days,135282992621.01161
222,92,Doubles in 3 Days,170445890095.98532
223,93,Doubles in 3 Days,214748364800.0
224,94,Doubles in 3 Days,270565985242.02322
225,95,Doubles in 3 Days,340891780191.97064
226,96,Doubles in 3 Days,429496729600.0
227,97,Doubles in 3 Days,541131970484.04645
228,98,Doubles in 3 Days,681783560383.9413
229,99,Doubles in 3 Days,858993459200.0
230,100,Doubles in 3 Days,1082263940968.0929
231,101,Doubles in 3 Days,1363567120767.8826
232,102,Doubles in 3 Days,1717986918400.0
233,103,Doubles in 3 Days,2164527881936.1858
234,104,Doubles in 3 Days,2727134241535.765
235,105,Doubles in 3 Days,3435973836800.0
236,106,Doubles in 3 Days,4329055763872.3716
237,107,Doubles in 3 Days,5454268483071.53
238,108,Doubles in 3 Days,6871947673600.0
239,109,Doubles in 3 Days,8658111527744.743
240,110,Doubles in 3 Days,10908536966143.06
241,111,Doubles in 3 Days,13743895347200.0
242,112,Doubles in 3 Days,17316223055489.486
243,113,Doubles in 3 Days,21817073932286.12
244,114,Doubles in 3 Days,27487790694400.0
245,115,Doubles in 3 Days,34632446110978.973
246,116,Doubles in 3 Days,43634147864572.24
247,117,Doubles in 3 Days,54975581388800.0
248,118,Doubles in 3 Days,69264892221957.945
249,119,Doubles in 3 Days,87268295729144.48
250,120,Doubles in 3 Days,109951162777600.0
251,121,Doubles in 3 Days,138529784443915.89
252,122,Doubles in 3 Days,174536591458288.97
253,123,Doubles in 3 Days,219902325555200.0
254,124,Doubles in 3 Days,277059568887831.78
255,125,Doubles in 3 Days,349073182916577.94
256,126,Doubles in 3 Days,439804651110400.0
257,127,Doubles in 3 Days,554119137775663.56
258,128,Doubles in 3 Days,698146365833155.9
259,129,Doubles in 3 Days,879609302220800.0
260,0,Doubles in 4 Days,100.0
261,1,Doubles in 4 Days,118.9207115002721
262,2,Doubles in 4 Days,141.4213562373095
263,3,Doubles in 4 Days,168.1792830507429
264,4,Doubles in 4 Days,199.99999999999997
265,5,Doubles in 4 Days,237.84142300054418
266,6,Doubles in 4 Days,282.84271247461896
267,7,Doubles in 4 Days,336.35856610148574
268,8,Doubles in 4 Days,399.9999999999999
269,9,Doubles in 4 Days,475.68284600108825
270,10,Doubles in 4 Days,565.6854249492378
271,11,Doubles in 4 Days,672.7171322029714
272,12,Doubles in 4 Days,799.9999999999997
273,13,Doubles in 4 Days,951.3656920021764
274,14,Doubles in 4 Days,1131.3708498984754
275,15,Doubles in 4 Days,1345.4342644059425
276,16,Doubles in 4 Days,1599.999999999999
277,17,Doubles in 4 Days,1902.7313840043525
278,18,Doubles in 4 Days,2262.741699796951
279,19,Doubles in 4 Days,2690.868528811885
280,20,Doubles in 4 Days,3199.999999999998
281,21,Doubles in 4 Days,3805.462768008705
282,22,Doubles in 4 Days,4525.483399593902
283,23,Doubles in 4 Days,5381.73705762377
284,24,Doubles in 4 Days,6399.999999999996
285,25,Doubles in 4 Days,7610.92553601741
286,26,Doubles in 4 Days,9050.966799187803
287,27,Doubles in 4 Days,10763.47411524754
288,28,Doubles in 4 Days,12799.999999999993
289,29,Doubles in 4 Days,15221.85107203482
290,30,Doubles in 4 Days,18101.933598375606
291,31,Doubles in 4 Days,21526.94823049508
292,32,Doubles in 4 Days,25599.999999999985
293,33,Doubles in 4 Days,30443.70214406964
294,34,Doubles in 4 Days,36203.86719675121
295,35,Doubles in 4 Days,43053.89646099016
296,36,Doubles in 4 Days,51199.99999999997
297,37,Doubles in 4 Days,60887.40428813928
298,38,Doubles in 4 Days,72407.73439350243
299,39,Doubles in 4 Days,86107.79292198032
300,40,Doubles in 4 Days,102399.99999999994
301,41,Doubles in 4 Days,121774.80857627856
302,42,Doubles in 4 Days,144815.46878700485
303,43,Doubles in 4 Days,172215.58584396064
304,44,Doubles in 4 Days,204799.99999999988
305,45,Doubles in 4 Days,243549.61715255713
306,46,Doubles in 4 Days,289630.9375740097
307,47,Doubles in 4 Days,344431.1716879213
308,48,Doubles in 4 Days,409599.99999999977
309,49,Doubles in 4 Days,487099.23430511425
310,50,Doubles in 4 Days,579261.8751480194
311,51,Doubles in 4 Days,688862.3433758426
312,52,Doubles in 4 Days,819199.9999999995
313,53,Doubles in 4 Days,974198.4686102285
314,54,Doubles in 4 Days,1158523.7502960388
315,55,Doubles in 4 Days,1377724.686751685
316,56,Doubles in 4 Days,1638399.999999999
317,57,Doubles in 4 Days,1948396.937220457
318,58,Doubles in 4 Days,2317047.5005920776
319,59,Doubles in 4 Days,2755449.37350337
320,60,Doubles in 4 Days,3276799.999999998
321,61,Doubles in 4 Days,3896793.874440914
322,62,Doubles in 4 Days,4634095.001184155
323,63,Doubles in 4 Days,5510898.74700674
324,64,Doubles in 4 Days,6553599.999999996
325,65,Doubles in 4 Days,7793587.748881828
326,66,Doubles in 4 Days,9268190.00236831
327,67,Doubles in 4 Days,11021797.49401348
328,68,Doubles in 4 Days,13107199.999999993
329,69,Doubles in 4 Days,15587175.497763656
330,70,Doubles in 4 Days,18536380.00473662
331,71,Doubles in 4 Days,22043594.98802696
332,72,Doubles in 4 Days,26214399.999999985
333,73,Doubles in 4 Days,31174350.995527312
334,74,Doubles in 4 Days,37072760.00947324
335,75,Doubles in 4 Days,44087189.97605392
336,76,Doubles in 4 Days,52428799.99999997
337,77,Doubles in 4 Days,62348701.991054624
338,78,Doubles in 4 Days,74145520.01894648
339,79,Doubles in 4 Days,88174379.95210785
340,80,Doubles in 4 Days,104857599.99999994
341,81,Doubles in 4 Days,124697403.98210925
342,82,Doubles in 4 Days,148291040.03789297
343,83,Doubles in 4 Days,176348759.9042157
344,84,Doubles in 4 Days,209715199.99999988
345,85,Doubles in 4 Days,249394807.9642185
346,86,Doubles in 4 Days,296582080.07578593
347,87,Doubles in 4 Days,352697519.8084314
348,88,Doubles in 4 Days,419430399.99999976
349,89,Doubles in 4 Days,498789615.928437
350,90,Doubles in 4 Days,593164160.1515719
351,91,Doubles in 4 Days,705395039.6168628
352,92,Doubles in 4 Days,838860799.9999995
353,93,Doubles in 4 Days,997579231.856874
354,94,Doubles in 4 Days,1186328320.3031437
355,95,Doubles in 4 Days,1410790079.2337255
356,96,Doubles in 4 Days,1677721599.999999
357,97,Doubles in 4 Days,1995158463.713748
358,98,Doubles in 4 Days,2372656640.6062875
359,99,Doubles in 4 Days,2821580158.467451
360,100,Doubles in 4 Days,3355443199.999998
361,101,Doubles in 4 Days,3990316927.427496
362,102,Doubles in 4 Days,4745313281.212575
363,103,Doubles in 4 Days,5643160316.934902
364,104,Doubles in 4 Days,6710886399.999996
365,105,Doubles in 4 Days,7980633854.854992
366,106,Doubles in 4 Days,9490626562.42515
367,107,Doubles in 4 Days,11286320633.869804
368,108,Doubles in 4 Days,13421772799.999992
369,109,Doubles in 4 Days,15961267709.709984
370,110,Doubles in 4 Days,18981253124.8503
371,111,Doubles in 4 Days,22572641267.73961
372,112,Doubles in 4 Days,26843545599.999985
373,113,Doubles in 4 Days,31922535419.419968
374,114,Doubles in 4 Days,37962506249.7006
375,115,Doubles in 4 Days,45145282535.47922
376,116,Doubles in 4 Days,53687091199.99997
377,117,Doubles in 4 Days,63845070838.839935
378,118,Doubles in 4 Days,75925012499.4012
379,119,Doubles in 4 Days,90290565070.95844
380,120,Doubles in 4 Days,107374182399.99994
381,121,Doubles in 4 Days,127690141677.67987
382,122,Doubles in 4 Days,151850024998.8024
383,123,Doubles in 4 Days,180581130141.91687
384,124,Doubles in 4 Days,214748364799.99988
385,125,Doubles in 4 Days,255380283355.35974
386,126,Doubles in 4 Days,303700049997.6048
387,127,Doubles in 4 Days,361162260283.83374
388,128,Doubles in 4 Days,429496729599.99976
389,129,Doubles in 4 Days,510760566710.7195
390,0,Doubles in 5 Days,100.0
391,1,Doubles in 5 Days,114.86983549970351
392,2,Doubles in 5 Days,131.95079107728944
393,3,Doubles in 5 Days,151.57165665103983
394,4,Doubles in 5 Days,174.11011265922488
395,5,Doubles in 5 Days,200.00000000000009
396,6,Doubles in 5 Days,229.7396709994071
397,7,Doubles in 5 Days,263.901582154579
398,8,Doubles in 5 Days,303.1433133020798
399,9,Doubles in 5 Days,348.2202253184499
400,10,Doubles in 5 Days,400.0000000000003
401,11,Doubles in 5 Days,459.4793419988144
402,12,Doubles in 5 Days,527.8031643091582
403,13,Doubles in 5 Days,606.2866266041599
404,14,Doubles in 5 Days,696.4404506369001
405,15,Doubles in 5 Days,800.0000000000009
406,16,Doubles in 5 Days,918.9586839976291
407,17,Doubles in 5 Days,1055.6063286183169
408,18,Doubles in 5 Days,1212.5732532083202
409,19,Doubles in 5 Days,1392.8809012738009
410,20,Doubles in 5 Days,1600.0000000000027
411,21,Doubles in 5 Days,1837.9173679952594
412,22,Doubles in 5 Days,2111.2126572366346
413,23,Doubles in 5 Days,2425.1465064166414
414,24,Doubles in 5 Days,2785.7618025476027
415,25,Doubles in 5 Days,3200.0000000000064
416,26,Doubles in 5 Days,3675.8347359905197
417,27,Doubles in 5 Days,4222.425314473271
418,28,Doubles in 5 Days,4850.2930128332855
419,29,Doubles in 5 Days,5571.523605095208
420,30,Doubles in 5 Days,6400.000000000016
421,31,Doubles in 5 Days,7351.669471981043
422,32,Doubles in 5 Days,8444.850628946546
423,33,Doubles in 5 Days,9700.586025666575
424,34,Doubles in 5 Days,11143.047210190422
425,35,Doubles in 5 Days,12800.000000000038
426,36,Doubles in 5 Days,14703.338943962093
427,37,Doubles in 5 Days,16889.7012578931
428,38,Doubles in 5 Days,19401.172051333157
429,39,Doubles in 5 Days,22286.09442038085
430,40,Doubles in 5 Days,25600.000000000084
431,41,Doubles in 5 Days,29406.677887924194
432,42,Doubles in 5 Days,33779.402515786205
433,43,Doubles in 5 Days,38802.34410266632
434,44,Doubles in 5 Days,44572.18884076171
435,45,Doubles in 5 Days,51200.00000000018
436,46,Doubles in 5 Days,58813.35577584841
437,47,Doubles in 5 Days,67558.80503157244
438,48,Doubles in 5 Days,77604.68820533268
439,49,Doubles in 5 Days,89144.37768152346
440,50,Doubles in 5 Days,102400.00000000041
441,51,Doubles in 5 Days,117626.71155169686
442,52,Doubles in 5 Days,135117.61006314494
443,53,Doubles in 5 Days,155209.37641066543
444,54,Doubles in 5 Days,178288.755363047
445,55,Doubles in 5 Days,204800.0000000009
446,56,Doubles in 5 Days,235253.4231033938
447,57,Doubles in 5 Days,270235.22012629
448,58,Doubles in 5 Days,310418.75282133097
449,59,Doubles in 5 Days,356577.51072609413
450,60,Doubles in 5 Days,409600.000000002
451,61,Doubles in 5 Days,470506.84620678786
452,62,Doubles in 5 Days,540470.4402525802
453,63,Doubles in 5 Days,620837.5056426623
454,64,Doubles in 5 Days,713155.0214521887
455,65,Doubles in 5 Days,819200.0000000044
456,66,Doubles in 5 Days,941013.6924135762
457,67,Doubles in 5 Days,1080940.880505161
458,68,Doubles in 5 Days,1241675.011285325
459,69,Doubles in 5 Days,1426310.042904378
460,70,Doubles in 5 Days,1638400.0000000095
